Received: userID=11, username=A21-00008, userType=user, password=
Received: userID=11, username=A21-00008, userType=admin, password=
Received: userID=11, username=A21-00008, userType=user, password=
Received: userID=11, username=A21-00009, userType=admin, password=12345678
Received: userID=11, username=A21-00009, userType=user, password=12345678
Received: userID=11, username=A21-00009, userType=user, password=12345678
Received: userID=11, username=A21-00009, userType=admin, password=
Received: userID=11, username=A21-00009, userType=user, password=
Received: userID=11, username=A21-00008, userType=admin, password=12345678
Received: userID=11, username=A21-00009, userType=user, password=123
Received: userID=11, username=A21-00009, userType=user, password=12345678
Received: userID=11, username=A21-00008, userType=user, password=123456789
